id,news_url,title,tweet_ids,dataset_label
politifact12944,http://www.cq.com/doc/newsmakertranscripts-4942265?3,comments in Fayetteville NC,942953459	8980098198	16253717352	16685132501	18459384142	20408136207	22245152650	76287470559444992	91736060433928192	167013050203914240	202463039910461440	231102720684220416	303188036668243968	327576133837139969	428207972250968064	550078280322543616	552000999834271745	575321511390679040	605495719630225408	608435381407739905	620373874434183168	663552087381274628	709120156266397697	710213578842836992	791657074568622080	791738101638897664	801163013839581185	811984896029822976	865327039947173891	868503315155496960	887032957843771392	956313411511554049	962036861743984641	970682643535802368	979341616975634432	992501849071775745	1009814965111414784	1017498833637576704	1019271700817563649	1026621333902372865	1034574401067515909	1041102754201124864	1042451606065885184	1045731999925915649	1047885310200348674	1050935364481941506	1051547030668156928	1055685980533989376	1064862539220230144	1065281573686259712	1069018829693476864,politifact_real
politifact779,https://web.archive.org/web/20070820164107/http://www.whitehouse.gov/omb/budget/fy2008/outlook.html,"Budget of the United States Government, FY 2008",89804710374154240	91270460595109888	96039619300306944	106486564980400129	239664119966470145	531736791594713089	975594288800194561	1049636292374528001,politifact_real
politifact14064,http://www.politifact.com/truth-o-meter/statements/2016/jan/21/donald-trump/donald-trump-exaggerates-when-he-says-china-has-to/,Donald Trump exaggerates when he says China has 'total control' over North Korea,690248006399049728	690254026663821312	690276950812721152	690282277935452164	690290570099486720	690290573954056192	690299488351551489	690301743796629504	690303164348628993	690306200479469568	690313168543846400	690341420943671296	690343545388015616	690387692086038529	690516103953518593	690613756225835008	690918860099305472	691334666893266945	691726420071071744	695625668508282880	696147797486112769	699419517072633856	699911978245099520	700277772233633792	703901532929060864	725370950166806528	780596690193494016	780600149437317121	857270944787779584	950389451842375680,politifact_real
politifact14474,https://www.law.cornell.edu/constitution/amendmentxxv,25th Amendment,1262604762	10969740933	11182364398	17507543393	21398975131	25263697653	27857034065	27865757220	27865815602	27875332189	27884999578	99641293101207552	99994025402183680	105362532994252800	136513048323174402	136565127754424322	137584145521049600	145369573523341313	250556927132696577	283419282665246720	283419778121621504	286566275491180544	287149236825501696	291923937611362304	313006543450808321	330076591331893248	330077063316918273	337018609752743936	346646032895078401	450644884836208640	462000345867386881	477197805853745152	525427528782336000	556413539770847232	556414801363369984	573903990993330176	605190915062235136	619610455762464768	623550542300614658	638364704595841025	658751745502253056	667258785472188416	672803161061507072	677516287644274688	746002633563971584	746735220741779456	747886285637980161	761739886445551617	807281689764380672	838085493606604800	860843137048215554	876023554357174272	892665273777504258	892964996895920128	898280649018167296	900756491757637634	917285300828643328	918181303333392386	939344990416900097	941414371116191745	957312813822824448	963427895837261825	963739623531819008	964592352428834816	966071855818842112	966072207905452033	966072640375894016	966072731237203968	966072820894638080	966396746262720512	968376581633839104	968734044665073665	969377819435380736	972202118022082560	981225076245835776	992730525013086209	1007647833237774337	1010960167368736768	1011090800082423808	1011409329147260928	1016339203578351616	1016369992072421376	1019750579898339328	1022195292685328384	1037378399919063040	1037678663985242114	1037867848331390976	1040676582019543040	1042400986206232577	1057250429766156288	1057375309073408000	1059140891292692480	1067270850146111488	1070305298823438337	1073308100529135617	1073419550950068224,politifact_real
politifact5276,http://americaneedsmitt.com/blog/2011/11/10/mit-romney-stage/,子供たちのコト。私のコト。,,politifact_real
politifact1313,https://web.archive.org/web/20090913221204/http://www.whitehouse.gov:80/the_press_office/Briefing-by-White-House-Press-Secretary-Robert-Gibbs-9/10/09,"Briefing by White House Press Secretary Robert Gibbs, 9/10/09",13511762265	13512918230	13513835900	13514247431	13515419800	13516693456	13517032409	13519738787	13536278547	13540019338	13541132252	13561446355	13572000998	13572000918	13572000733	13572000651	13572000619	13572002004	13572001550	13572001507	13572001328	13594406371	13674085084	13711834932	13720868252	13749057192	13749065997	13749069202	13749238070	13749747252	13750990274	13750991152	13750992923	13751096135	13751780273	13752722769	13753380366	13755188589	13760904871	13764467109	13764469240	13771195818	13775328258	13812842137	13812842988	13812844608	13812845690	13812846934	13812847774	13813149436	13813231765	13813550481	13813719728	13813721107	13813722269	13813724061	13813895870	13815053115	13815441546	13815733341	13816422315	13816773883	13816774448	13816774248	13817786862	13819408116	13831502328	13832076927	13834341394	13838546883	13840338052	13845284773	13879756935	13917016531	13939522719	14146723117	14175283039	14182213617	14183354155	14183469966	14183991301	14184180772	14184327176	14184464969	14185657596	14185659915	14185662452	14185666001	14185665990	14185666783	14187164170	14187165337	14187164764	14187165733	14188110630	14188368279	14188572846	14189956175	14192473616	14196011409	14215290851	14270297173	14387983090	14388049453	14388125704	14388378690	14388489136	14388635237	14389729607	14389742263	14390211747	14390304325	14396085211	14425581985	14440925151	14469284828	14469457115	14469483928	14469483377	14469485694	14469485077	14469667380	14469669145	14469669024	14469668997	14469704591	14470575326	14470805295	14471153840	14471264426	14471269510	14471270818	14471718828	14473348634	14473636836	14473909013	14476010404	14480819824	14480820371	14480820163	14480821089	14480820646	14481477412	14499262163	14553383955	14588128954	14602018214	14620688731	14624835770	14648752288	14648815014	14649683872	14652794873	14652985665	14653316061	14653326950	14653329247	14653625143	14653624602	14653626660	14653966634	14654017245	14654395262	14655303283	14655304805	14655311793	14656384075	14657107566	14658402696	14658771625	14690289083	14690879523	14691132960	14712545850	14725754782	14738394700	14802918495	14820166338	14829639161	14900857861	14906432683	14946639208	15009896496	15205922450	15206112954	15206112948	15206113189	15206235261	15206273457	15206275013	15206275876	15206277009	15206565397	15208031586	15209242975	15209811420	15210441471	15210473080	15222655466	15341404808	15341483213	15341539116	15342347324	15343213435	15343635508	15343847399	15355828704	15355878133	15356191211	15357026728	15357026147	15357027656	15357029010	15357029680	15357083808	15357892990	15358192633	15358506783	15358509747	15374817082	15375243808	15376056448	15376459423	15376518479	15377941729	15378632822	15383059637	15411591821	15601777278	15631355105	15631628387	15643171490	15643200939	15643293519	15643473718	15643647283	15643892600	15645373801	15645374588	15645375884	15645989383	15646593495	15646773104	15646827289	15647154502	15652117547	15659194614	15728742491	15794694370	15802190776	15802389480	15802513807	15802556627	15802861804	15802934390	15802937063	15802937637	15803319368	15803338937	15803860946	15804847000	15804913608	15804959178	15805734267	15805734987	15813702340	15818602037	15829980155	15833326909	15850690194	15850699329	15850700703	15859938354	15860618218	15880457572	15880457231	15880465214	15880464803	15880464641	15880465886	15880466457	15880566131	15880629762	15881201582	15881213816	15882891895	15883847781	15884090529	15884207230	15886505398	15888566821	15899529051	15913382212	15913381999	15938856455	15948912975	15956855897	15968723775	16004942365	16328383619	16331802276	16340625325	16340627355	16340628182	16340641666	16340687808	16341470481	16341879242	16341880712	16341880014	16341881742	16341882422	16341883710	16341893728	16342050376	16343353944	16343700500	16344615041	16345576292	16346948655	16347498724	16347913904	16349982429	16352055627	16355191923	16358672044	16361845530	16362348510	16365329240	16367951355	16367993434	16368715588	16370338181	16372628590	16375083012	16377337726	16379831112	16380729939	16383910894	16384516865	16389411366	16405906482	16420677517	16420772152	16420890265	16420927479	16421067987	16421913371	16422191090	16423669604	16423989133	16425839387	16426280082	16426477426	16429875704	16430459161	16433927364	16437173163	16445039415	16447914391	16450336705	16452455784	16454720532	16465322856	16470997814	16502388038	16523374261	16579951117	16619980290	16725584382	16731118815	16779218082	16804166829	16804226014	16804531686	16805212334	16807008840	16807833400	16808273043	16809073416	16809389689	16809773867	16809975368	16810926815	16817067571	16834090934	16872281416	16895774645	16951813902	17008240134	17055792949	17179945532	17367055130	17367115299	17367116581	17367116226	17367118337	17367117880	17367268823	17367291616	17367637332	17371046373	17372955003	17373003005	17378741672	17379012612	17389803904	17393735014	17470409334	17511127099	17527404855	17527650420	17527808112	17528121558	17528205741	17530854450	17530854202	17530854130	17531164589	17531982233	17534159355	17536243828	17596104926	17596281502	17819410813	17877825047	17982481570	17982703091	17982817101	17982852159	17983139285	17983138785	17983140361	17983339529	17983488419	17983529490	17984561269	17984975677	17984977836	17985634519	17986096990	17986414519	17987679513	17988808858	17989814156	17999991142	18017558545	18018193090	18018194543	18018195021	18018197137	18018197890	18018784870	18028405936	18040982120	18056792939	18059352966	18099265586	18130309267	18191816648	18383774048	18383839789	18384502545	18385829444	18385837701	18385839751	18385851626	18385853216	18385854277	18385935888	18386228170	18386228436	18386902808	18386908161	18386937504	18387529348	18387530804	18387531930	18391622945	18397824587	18400181209	18404833659	18407060404	18430290999	18432123388	18438601395	18447075520	18476971376	18477060393	18477455400	18477810000	18478031144	18479857755	18480033994	18484190378	18484191441	18489387721	18493517986	18497772516	18508573714	18518612370	18532256980	18562210891	18562278201	18562278779	18562280168	18562299038	18562358299	18562473515	18562725395	18562750091	18562756061	18562798436	18562828205	18563040637	18563125690	18563139364	18563181317	18563211323	18563239911	18563260700	18563304904	18563392651	18564131588	18564300900	18564309838	18564312609	18566234950	18566617824	18567255205	18568473386	18568524121	18569467112	18581305297	18586843342	18587301044	18587954078	18589990318	18590938164	18592603707	18597172453	18598727739	18637603956	18640353554	18653792380	18796863890	18883261363	18953403763	18953775162	18953862181	18955625165	18955661830	18955963804	18963856964	18969993505	18974087453	18980867377	19001202447	19001774383	19058709464	19096280068	19100069230	19101828785	19110461490	19110594232	19110757474	19110855456	19110855680	19111426871	19111619976	19111982711	19115487189	19216554110	19219228829	19237847225	19251156872	19271448512	19272730055	19275680867	19277538041	19280453260	19291043389	19291272894	19291529653	19291531763	19291726048	19293476413	19293556239	19294089368	19294500904	19294631013	19296026576	19296250997	19297307011	19297548989	19307222241	19314215231	19324049005	19334911205	19335430668	19335831098	19338018151	19342063941	19344400859	19344400767	19346896100	19346943216	19351566862	19354507772	19357341869	19360273986	19362524413	19363479945	19364541053	19381947174	19390505192	19396730802	19397370816	19402052467	19410734195	19410734574	19411394740	19412473660	19413617998	19418040010	19422599778	19427329995	19435375962	19435377397	19441979708	19442183395	19445177277	19447699045	19447698671	19447699426	19447936846	19447937471	19447938211	19469879278	19474037406	19478079785	19481244081	19530074527	19535959811	19536866850	19542789560	19548903754	19564747071	19567533924	19576485885	19578039432	19588992541	19605313051	19605791781	19606658145	19607559439	19608757409	19608808445	19608859171	19612027014	19612665484	19612968876	19613276953	19613801721	19616722502	19619130613	19620365281	19624589774	19629930633	19639265939	19641437898	19646162026	19652085130	19655054115	19658045329	19661340843	19665801219	19669273914	19677261352	19678080349	19679158749	19680686066	19681699330	19681700702	19681716677	19681717638	19683452677	19686086269	19689419012	19689522017	19690024813	19690758307	19691875698	19693721286	19695092303	19707545875	19709528434	19709705725	19726130309	19726346476	19726435214	19727535456	19727596269	19768809342	19770958723	19771522138	19795527835	19847953023	19864126212	19871743315	19956943916	19983541167	19983756490	20249775748	20249832099	20251354239	20251508500	20251586716	20252724707	20252724221	20252725593	20252725815	20252898408	20254088507	20254142286	20254967859	20255426180	20255928760	20258943914	20265703497	20275499825	20308559433	20312165501	20319812258	20320198275	20321336265	20321335868	20344902171	20346848652	20348745705	20350776208	20351750519	20354538453	20402145954	20418260956	20456574603	20647540357	20741345471	20899952099	20911718363	20922038939	20922525216	20922603307	20922603095	20922603605	20922603459	20922605206	20922604515	20922874192	20922875891	20922876624	20923445224	20925564526	20925600929	20925849940	20926152798	20927147006	20927352935	20927516508	20928881312	20935091661	20944819899	20956215792	20987826409	21054563849	21054563800	21070735392	21311198501	22559785699	22559942673	22560056481	22560063938	22560063921	22560063890	22560967515	22561460395	22561690268	22564979935	22565479189	22566323120	22566770422	22566770349	22566770704	22581053904	22581930139	22587590698	22589508123	22609304022	22620433446	22812537719	22833657992	22833972256	22835613057	22836520744	22839243243	23005214145	23216200157	23216894606	23271868601	23272001921	23855175319	23860002214	23860095028	23860095007	23860095771	23860175282	23860252636	23861905421	23864578942	23868189182	23871555868	23872657024	23876495516	23888130233	24029927735	24043417597	24043420055	24043419351	24044444848	24044444616	24044539486	24044657769	24047740374	24049037150	24066703133	24075460259	24320164582	24600798948	24602696940	24602696822	24602696719	24602763942	24603586778	24604773333	24604917628	24605202753	24606730850	24606793760	24606793702	24606852244	24625066650	24625069783	24800103140	24800102709	24800118375	24800385064	24801093684	24802948292	24803770004	24806575362	24809564008	24809567721	24810232110	24810235533	24825615143	25017350604	25151655036	25152344103	25157274064	25157273857	25157273819	25157273740	25157273613	25157273511	25157403489	25157784664	25157787174	25157786989	25158922746	25161299814	25161418832	25161899698	25164353141	25164370121	25170152849	25181446422	25189918498	25189919412	25193008999	25328799789	25328832123	25329409370	25350609029	25350898521	25350898283	25350897779	25354032874	25357456720	25365440322	25499118158	25999452183	26002613605	26010725092	26011530007	26011742610	26011742381	26012025213	26012169744	26013740116	26013827308	26013827215	26014874022	26016257620	26018208834	26023593613	26044567340	26057981288	26092394645	26093979523	26096717355	26096875381	26111243180	26113694662	26114577834	26114950221	26114970663	26115112321	26115364681	26115364534	26115364058	26115365855	26115365112	26115365023	26115887265	26116444081	26116580865	26117303150	26120495062	26128350788	26128352686	26129027942	26129030186	26145317303	26201965459	26386691052	26395732018	26395731543	26396992048	26396992038	26398277689	26399352788	26400014026	26404868255	26407474769	26407482748	26408165099	26417422526	26446628698	26463518331	26463647958	26500060635	26548639018	26571656345	26677167559	26682533073	26682930654	26682930505	26682930488	26682930419	26684948091	26686465198	26686518966	26686668551	26686704169	26687032142	26689855895	26695520351	26695523500	26712543775	26718029115	26748223421	26751189156	26762968362	26763478229	26765982830	27012005525	27164523065	27169786652	27177871114	27177871050	27177870842	27177870826	27177870779	27178134423	27178298797	27178419892	27179229691	27179376399	27179827469	27181611625	27181763633	27182136728	27187297285	27196898304	27198339647	27214798156	27216507597	27222960353	27364692485	27370271096	27384297060	27385472821	27392198477	27441812465	27451298413	27858164285	27872475375	27872475196	27872475061	27872493339	27872496006	27872498490	27872499049	27874068036	27874239456	27874797628	27874797143	27875981722	27879582003	27880789426	27881192994	27884208220	27885374744	27890295590	28027798292	28487967690	28592687178	28814188232	28821386197	28839972288	28896905888	28912478222	28925653906	29005977423	29012112330	29012111917	29012111825	29012111708	29012111383	29012113453	29012113426	29012113391	29012113382	29012113236	29012113144	29012112415	29012113822	29012113794	29012113613	29012113561	29012511719	29012934359	29013237875	29013409177	29013459416	29013553141	29013574473	29013610088	29013807808	29013964912	29014316723	29014877655	29015226352	29015348746	29016363825	29016451752	29016452882	29016495962	29016716516	29016754195	29017308682	29017308478	29017308443	29017322482	29017418502	29017664309	29017664145	29018864379	29019083011	29019082685	29019093586	29019093551	29019127189	29019238651	29019238440	29019239209	29019635813	29019645511	29020551896	29020646029	29020817073	29021302145	29021302016	29021520620	29021808924	29021825548	29024482719	29024637578	29025162856	29025515564	29025562068	29027308130	29027617020	29027724884	29030082109	29032694271	29033730653	29037997094	29039086872	29039091682	29039091071	29039095180	29039094795	29039102956	29051522158	29069089451	29069100824	29069114219	29069118854	29069148897	29069148852	29069159092	29069173613	29069177645	29069183146	29069184407	29069187203	29069762997	29075849701	29088903897	29094795913	29096412845	29120519034	29130291178	29130292203	29132880507	29132879744	29133129607	29134661426	29136152915	29137125907	29137125905	29137657925	29139846124	29139850937	29142437872	29274635991	29313009738	29323317065	29691288506	29691289818	29691324737	29691714386	29691721834	29698334866	305251445899264	308656012795904	308654918078464	308654406373376	309087170465792	313814536945664	314703393857537	315747700056064	316003502268416	316587856896001	317393226174464	324376364847104	324498490392576	472335408697344	529498470612992	668562888859648	1015847917195264	1174200689627138	6751270341709827	6754678691864577	6776812633858048	6776812101181440	6776811765637121	6776811543339008	6776811258122240	6776810775777281	6776814621949953	6779802623148033	6782406853918720	6782406669373440	6782406358999040	6782405855674368	6782405591437313	6787908895772672	6797279264505856	6807329144049664	6837819867664384	6837822812069889	6837821767680001	6837821272752128	6837820740083712	6837820232568832	6840023903109120	6840033189306368	6840032786653184	6846414667644928	6847588212932608	6851243917975552	6851690548436992	6852752655257600	6852831214567424	6857526612066304	6859850411671552	6873189804146688	6965112116092928	7069130817544192	8037118240628736	8580764643885056	8792115588898816	8997492284727296	9311881973997568	9316347196481536	9316750344593408	9317791614107648	9372079174455296	9375686984732672	9375686556909570	9375686103928832	9375685374119936	9377495916740608	9377495434399744	9377494738149376	9377497267314688	9384291305791489	9385841050783744	9388421562761216	9388945578139648	9393353850363904	9395607676391425	9420207068024832	9489263926185984	9573922479542272	9625737552199680	9677890660597760	9679269336715264	9680487417118720	9682779579092992	9734099950370816	9734102433402880	9734101422575616	9734100667604994	9737596917784576	9737596657729538	9745709402169344	9745708294873088	9745707405680640	9747495248728064	9747517109444609	9747515469471744	9747513930158081	9749037636919296	9749081429647360	9750440866488320	9750898511183872	9755018211106817	9957189183606785	10020032075538432	10052140122775552	10053470493089792	10065365954465792	10107832464576512	10107834725302272	10107834276515840	10107833915805696	10112780073959424	10113203191160832	10126335468896257	10134628782317568	10234504098615296	10332290034958336	10370543588999168	10448631257632768	10806423743107072	10806423734714368	10806423181070336	10806515397042176	10806513929035776	10806517624209408	10806521185173504	10809097939062784	10809097330892800	10809097309917184	10809096898875392	10814298045554689	10814297080856577	10829985472315392	11055541103108096	12940669131694080	12940982240681984	12941828537974784	12944342607994881	12944357455822849	12945413384441856	12952854016823296	12957136275378177	12959660613042176	12981113647538176	12982163637014528	12984485133950976	13018611765481472	13026667404468225	13029802797699072	13029931466358784	13203788223479808	14433304488976384	14460455820992512	14460458991878144	14460457368686592	14460456722767872	14460778547515393	14462712289427456	14462712750804992	14466245843750913	14468437652807680	14476521573974016	14489373571547136	14494884668907521	14500249380851712	14706122644525057	14719461571436544	14760299194228736	14810112921178113	14810254646706176	14810254302773248	14810253807849472	14812436049690624	14813064083808256	14813072937975808	14816436035788800	14818163006898177	14835370319421440	14879453809213440	14879458016100352	14895493918228480	14942398173937664	14974121775468544	15103689811296256	15507300345188352	15518591197650944	15519642357338112	15522513329065984	15522779369570304	15527473793990657	15535299438313472	15542845100265473	15560055067770880	15686495457247233	15823564963848192	15919047845617664	16326801932419072	16506885813313536	16904342632136704	16904351855411200	16922664736133120	16922678308896768	16965638081748992	16965638056583168	16965641604956160	16965641340715008	16965638731866113	16969539812065280	16972782273306624	16973447015956480	16973531749285888	16973533024358400	16973532646875136	17042165511225344	17099125908570114	17150748898893825	17163998604566529	17248810447142914	17339692869492737	17339690742972418	17343547950768128	17343887727140864	17346449612214273	17418918356320256	17432680098435072	17491291365441536	17496696388849664	17531658576072705	17592181615239168	17594244319416321	17596725195706368	17605895227711488	17664148766724096	17664148221464576	17664150243115009	17668901038985216	17668899633893377	17668902368575489	17672274303787008	17676778113867777	17676781171507200	17676780919853056	17676828772663296	17677434866368512	17677813049982976	17686382768037888	17690776876093440	18062144582983680	18184032604917760	18229249324351488	18485982403764224	18836590524637184	18836590352662528	18836590331691008	18836590323306496	19089936049242112	19286412654284800	20710152608944128	21611584782606336	22653244975087616	22671278624219136	22675460890562562	22681181547925504	22681270253256705	22681791278088192	22683491791544320	22684681912721408	22685136990507008	22692273867198464	22711318498775040	22712020398776320	22716119710171137	22751488472260608	22762824157630465	22762823910162432	22762823440404481	22762825583693824	22762824895827968	22763231776866304	22764155916255232	22766520455135232	22768247535304704	22773126056124416	22781958538924032	22837227214077952	22852099712753664	22862709942915072	22970508488220672	23051316037165056	23071507353706496	23227262203600896	25573375715840000	25579715418923008	25579966112468992	25579980247273472	25593208943681536	25593218250838016	25601052896133120	25605440008093697	25615067617693697	25615066128711680	25615070633394176	25615729860546560	25615728765833216	25615728476426240	25615728040222720	25617723874607105	25619954162212865	25620277425610752	25620969573842944	25621238223212545	25624469552766976	25626887845847040	25628715450896384	25628715396370432	25628715379597312	25631354402115584	25633768849022976	25635966983077888	25639959343931392	25654225430122496	25654728994070528	25665472707952640	25695977444745217	25717976934129664	25787460382363650	25787625210126336	25796463636250626	27410256837484544	27474488421515264	27474500379484161	27474499985215488	27474499406401536	27474499100213248	27474501906210816	27477195161079808	27477658522624000	27478370971287552	27478370329559040	27478370094678017	27478372959391744	27478371919208448	27479540267745282	27479814738804736	27481623763095552	27483807045128194	27526618054393857	28076740240744448	28215429134553088	28215428555735041	28219724043128832	28221181739929600	28221180427116545	28221180024463360	28221377488097281	28223430646046720	28223429643608064	28223731079843842	28228311272394753	28231382631194625	28231775465512960	28232162595577856	28233655797161984	28237553186377729	28255361995636736	28262467427631105	28272045770940416	28296475830132736	29036939730489344	29586981738512384	29587541652934656	29588421353672704	29589786930978816	29589813992620033	29590671304163328	29591669351387136	29594071722889216	29612530422779904	29637864811667456	29639761287184385	29651596832940032	29652076829081602	29659309537239040	29728407449247744	29744224198991872	29931450778263554	29949974582140928	29976715270815744	30039803164622848	30124137049489408	30269739129380865	30342570043252736	30720898164068352	30724463477657601	30746328757698561	30746328258576384	30746328027897856	30746452082827264	30747133271351296	30749455842021377	30754817395658752	30761903001178112	30761901101162496	30761904188162048	30764980848566272	30769292219781120	30769971239849984	30769974104555520	30788965875322880	30842772550324224	30994471109795840	31058083463561216	31063886656438272	31063942348406784	31081301566033920	31081451965526016	31081726683910144	31081831382130688	31082626253066242	31084393678241792	31085180668088321	31088547414941698	31089331946913792	31093521679122432	31108680418074624	31125918504194049	31125918479024130	31125917908598786	31125917837295617	31125916851638272	31125920626511872	31126450849452032	31126736359919616	31130449287843840	31131010485714944	31131420294389760	31132526290407424	31132580350795777	31133596227997696	31133594831298560	31133594680295424	31136702516961280	31140396167864320	31149704297316352	31193688612806656	31199785780256769	31326159450935296	31380998906183680	31396076669898752	31682929620946944	32077871614795776	32120808180555777	32147751005327360	32149409370214400	32149688949940225	32150618277675008	32151145673662464	32151688865386496	32153535105728512	32154423492870144	32157137517944832	32158589325938688	32158591125299200	32158590252875776	32158590227709953	32159423287795713	32162093826310144	32163746809905152	32164014276485121	32173921771978752	32186928853946368	32202688053649408	32204427016278016	32206180092743680	32206179778174977	32206194265296897	32206865588822017	32208954897465344	32208957263056897	32208955761500160	32209472940154881	32211498289864704	32212958620680192	32218574021984257	32219125539414016	32226549105168385	32256111524454402	32263814644768768	32271286524710912	32302169206038531	32327536394379265	32328225677901825	32329184726491136	32527028389412865	32859979585167360	32863702659104768	32865179632926721	32865668948824064	32866828258639872	32867149059985408	32881516400869376	32909768653803520	32909770641903616	32909770285383680	32909769836597248	32909769542995969	32909769001926656	32910075421003776	32910932921290752	32910965653643264	32910964747673602	32910969420128257	32912885764071424	32913999569879040	32915369039499264	32916476251869185	32917709448552448	32928310182805504	32931875278299136	32940084143595520	32961253441798145	32961447344476160	33156859221245953	33156858214612992	33254776716132352	33637314668273664	33660970043707392	33694092420452353	33892119030538241	34068619033841664	34083810970705920	34595971253927936	34679559089557504	34680230115422208	34682751995084800	34685120594198528	34685120564690944	34687707657539584	34697965012525056	34707030530859008	35039671666876417	35055524026253312	35065834678259713	35125950173679617	35125949703917568	35125951188705280	35127021533134848	35127021310836736	35129771427897345	35130428134264832	35132373033029632	35134053317345280	35136371207180288	35150543844282368	35153947736014848	35170936554524672	35174085474385920	35181351137181696	35183058718167040	35441648150253568	35465325629677568	35525689432088576	35529687056912384	35556055995908096	35593739619532802	35604367428173824	35630416576643074	35631267034701825	35632386242777088	35692708299411456	35714727040516096	35722137243222018	35759868841295873	35899257500213249	36010863307522048	36053471551561729	36064169665101824	36088586243801088	36089419303747584	36096565672296448	36098632847462400	36102522254917632	36156413319323648	36157728724361217	36157882588336128	36157939622354944	36157947058851840	36158038222049280	36158120891785217	36159087058235392	36159527925583872	36160053102776320	36160248993550337	36160255318687744	36160600564305921	36160790083936256	36160854114316288	36160859071844352	36160858178457600	36160883654803456	36160934443487232	36160988000681984	36161057475002368	36161163641225216	36161187653615616	36161327965675520	36161544056209408	36161541816459264	36161762826915840	36162001608642560	36162278797611009	36162603952779264	36163264559857664	36163340652777472	36165935068880896	36167183138684928	36167611016286209	36168023949836288	36190051150864384	36221712454533120	36222588220874752	36223332751777793	36223332521091072	36223902447308801	36227982100008961	36231429662707712	36231432258981888	36231431520780290	36231490299760640	36233649154170880	36234126554042368	36234341335961600	36240927655731200	36268538087874560	36273191710232576	36287556144340992	36287555339034624	36310553840328704	36422121064374272	36422152844476416	36426976889806848	36434393249611777	36439319182835713	36442202787815424	36447020185034752	36943776966516738	36967754380750848	37188887914745856	37262508867719169	37315118291222528	37397077621215232	37882106063491072	37912997728878592	37927967048990720	37930141233582080	37931863104294912	37933998944555009	37955905362337792	38130441986777088	38236168076263424	40661788479455232	42105840856997888	42993808337670144	42993854764417024	42993963002638337	42993986201325568	42993991456796672	42994005587398657	42994147367469056	42994372836466688	42994838836215808	42994853570818048	42994963797123072	42994969077755904	42995052825419776	42995135520317440	42996095441313792	42998985987866624	42999210039197696	42999814526472192	43005896728653824	45007704955170817	55828816425254912	63718005791670272	63718005540012032	70380601768816640	78157007672180736	99699681424179201	127584830673264643	127584884364546048	129869973609918464	142077431157764096	169638904104890368	173341688809533440	179927538397757441	186810819399524353	201905698513231872	201905702279720962	205686864718475265	285101074740809728	332902342506708993	358592476090609664	437320056414818304	494157264656547840	672040585918701568	725161194953252867	823617438491246595	835240404111011840	921449963099271168	957563893655552000	1002950382367182849	1010964892780761088	1063485565163765761	1072028286652436480,politifact_real
politifact11747,http://data.bls.gov/timeseries/CES0500000001?output_view=net_1mth,Bureau of Labor Statistics Data,11488847340	11488847936	11488851355	11488850977	11488857134	11488862303	11490454072	11490453769	11815114411	17574940953	37913678858829825	37948751247056896	66515840614408192	66620730720256000	189136700147113985	189141801339338753	189236400007286784	189243783769096192	189319034792185858	189632769079525376	190356833632915456	263999828277747712	263999855737831424	264000107475767296	362540631748386817	377864726459727873	395527911760883712	395527933030187008	395527957369716737	395527966609768448	395527980463570944	395527987719716864	395527999316967424	395528013309149184	395528019978113025	395528033039159297	395528599690051584	395528717599916032	395531020843634688	395534687973539840	395539252005437440	395555569328603136	396789270985191424	453600350793379841	474347177620557824	474350947129655296	474351384851382273	474352395078877184	563727091854999552	596064507790766080	601494488834519043	618119692180434945	1001829870203219968	1027936420457984002	1027944706221600769	1037700925215858688	1051722178247516160	1051747273930153984	1059398871271591937	1066703924680306689,politifact_real
politifact1783,http://abcnews.go.com/ThisWeek/week-transcript-holder-giuliani/story?id=10596448&page=4,'This Week' Transcript: Holder and Giuliani,,politifact_real
politifact9691,http://www.nbcnews.com/politics/first-read/impeachment-talk-becomes-cynical-game-n168436,Impeachment Talk Becomes a Cynical Game,494471648498941952	494473906578030592	494474086567792640	494474175432515585	494474635631935488	494474710864777216	494475371278909441	494475642608418816	494476039628673024	494477145607909376	494477185655132161	494477189081878528	494477187634835456	494477555366232064	494478245006303233	494478456361459712	494478471439990784	494478483888685056	494478627669417985	494478636586508291	494478677976317953	494479016204574722	494479025746624512	494479344186585089	494479942713745410	494480095512248320	494480132904464385	494481069274460160	494481806939660289	494482483107217408	494482493320351744	494482587952222208	494482599612809216	494482875463397377	494482905054187520	494484150364024832	494484567839895552	494484992005640193	494485011597258753	494485028944883712	494485046292520960	494486139320164352	494486422389555200	494486505620905987	494488492018114560	494489163958190080	494490474292326400	494491792398888960	494496288483069954	494497030946160640	494497660292714499	494514485957525504	494516517304688641	494619906772844544	517332614966165504,politifact_real
politifact13132,http://www.politifact.com/truth-o-meter/statements/2016/mar/15/hillary-clinton/hillary-clinton-says-guns-exceed-next-nine-categor/,Hillary Clinton says guns exceed next nine categories as leading cause of death for young black men,709855468429189122	709863316697391104	709882822559965184	709925869368639488	709958216755576833	710075534705868800	710125625558695936	710157406995681281	710167845292908544	710235719416094721	710323762042949633	710505001622220800	710795622627065856	710796078791200773	710841868423176193	711163603676692484	714898378744725504	715012487775584256	718140785745666052	722928950624722944	722933149198495744	729158479923945472	780584733902123008	780584883303297024	780584960503808000	780586180458844161	780586198913789956	780586514698866688	780595620994125824	780908206876942336,politifact_real
